카테고리,상품명,가격,작성일자,판매상태,URL
건강기능식품,오쏘몰,"20,000원",끌올 6시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%98%A4%EC%8F%98%EB%AA%B0-8omn1yh95k5v/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,힐링 릴렉스온 900mg 30정,"19,000원",끌올 23시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%9E%90%EB%A7%81-%EB%A6%B4%EB%A0%89%EC%8A%A4%EC%98%A8-900mg-30%EC%A0%95-n6qtfvfmuhew/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,"[미개봉 새상품] ₩49,900–> ₩28,000 피타니 그래니스미스 스키니 애사비 구미","25,000원",끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%EC%83%88%EC%83%81%ED%92%88-49-900-28-000-%ED%94%BC%ED%83%80%EB%8B%88-%EA%B7%B8%EB%9E%98%EB%8B%88%EC%8A%A4%EB%AF%B8%EC%8A%A4-%EC%8A%A4%ED%82%A4%EB%8B%88-%EC%95%A0%EC%82%AC%EB%B9%84-%EA%B5%AC%EB%AF%B8-o5ts9e64g86i/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,푸드올로지 빨간통 & 맨올로지 컷,나눔,1일 전,판매완료,https://www.daangn.com/kr/buy-sell/%ED%91%B8%EB%93%9C%EC%98%AC%EB%A1%9C%EC%A7%80-%EB%B9%A8%EA%B0%84%ED%86%B5-%EB%A7%A8%EC%98%AC%EB%A1%9C%EC%A7%80-%EC%BB%B7-xf9wjb83zoc6/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,정관장 알엑스진 홍삼오일 90캡슐(45일분),"150,000원",2일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%95%EA%B4%80%EC%9E%A5-%EC%95%8C%EC%97%91%EC%8A%A4%EC%A7%84-%ED%99%8D%EC%82%BC%EC%98%A4%EC%9D%BC-90%EC%BA%A1%EC%8A%90-45%EC%9D%BC%EB%B6%84-mph6w35gcnd8/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,웅진 홍삼정 활력진액 플러스 30포 새상품 판매합니다.,"30,000원",끌올 2일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9B%85%EC%A7%84-%ED%99%8D%EC%82%BC%EC%A0%95-%ED%99%9C%EB%A0%A5%EC%A7%84%EC%95%A1-%ED%94%8C%EB%9F%AC%EC%8A%A4-30%ED%8F%AC-%EC%83%88%EC%83%81%ED%92%88-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-3fdazj577cic/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,"정관장 홍삼정 로얄 50g, 240g","45,000원",끌올 4일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%95%EA%B4%80%EC%9E%A5-%ED%99%8D%EC%82%BC%EC%A0%95-%EB%A1%9C%EC%96%84-50g-240g-5prfx5kastgt/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,파마코브레인PS 뇌영양제 3개월분,"80,000원",끌올 4일 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%8C%8C%EB%A7%88%EC%BD%94%EB%B8%8C%EB%A0%88%EC%9D%B8ps-%EB%87%8C%EC%98%81%EC%96%91%EC%A0%9C-3%EA%B0%9C%EC%9B%94%EB%B6%84-hc9y7a2hj57w/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,줄리스초이스 더마뷰티 스킨부스터 36g,"36,000원",끌올 4일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A4%84%EB%A6%AC%EC%8A%A4%EC%B4%88%EC%9D%B4%EC%8A%A4-%EB%8D%94%EB%A7%88%EB%B7%B0%ED%8B%B0-%EC%8A%A4%ED%82%A8%EB%B6%80%EC%8A%A4%ED%84%B0-36g-use72ubtpt1m/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,설은미 수국 리세린지 리본 다이어트 45g,"130,000원",끌올 4일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%84%A4%EC%9D%80%EB%AF%B8-%EC%88%98%EA%B5%AD-%EB%A6%AC%EC%84%B8%EB%A6%B0%EC%A7%80-%EB%A6%AC%EB%B3%B8-%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8-45g-8ry6a4d966tt/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,정관장 홍삼정 로얄 240 천녹정편 60,"177,000원",5일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%95%EA%B4%80%EC%9E%A5-%ED%99%8D%EC%82%BC%EC%A0%95-%EB%A1%9C%EC%96%84-240-%EC%B2%9C%EB%85%B9%EC%A0%95%ED%8E%B8-60-f9597ddjjksm/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,드시모네 키즈 프리미엄 유산균 2통,"85,000원",5일 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%93%9C%EC%8B%9C%EB%AA%A8%EB%84%A4-%ED%82%A4%EC%A6%88-%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84-%EC%9C%A0%EC%82%B0%EA%B7%A0-2%ED%86%B5-7g13wrjrvhbi/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,락토핏 골드 생유산균,"14,000원",7일 전,예약중,https://www.daangn.com/kr/buy-sell/%EB%9D%BD%ED%86%A0%ED%95%8F-%EA%B3%A8%EB%93%9C-%EC%83%9D%EC%9C%A0%EC%82%B0%EA%B7%A0-v4qwvrqopmix/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,정관장 홍삼다보록 진심편믿음 입니다,1원,끌올 9일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%95%EA%B4%80%EC%9E%A5-%ED%99%8D%EC%82%BC%EB%8B%A4%EB%B3%B4%EB%A1%9D-%EC%A7%84%EC%8B%AC%ED%8E%B8%EB%AF%BF%EC%9D%8C-%EC%9E%85%EB%8B%88%EB%8B%A4-j6a6z8oddnjz/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,오쏘몰 이뮨 30일분+1일분 새상품,"70,000원",10일 전,예약중,https://www.daangn.com/kr/buy-sell/%EC%98%A4%EC%8F%98%EB%AA%B0-%EC%9D%B4%EB%AE%A8-30%EC%9D%BC%EB%B6%84-1%EC%9D%BC%EB%B6%84-%EC%83%88%EC%83%81%ED%92%88-vvkqwusu7s7w/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,비타민제 센트룸,"4,000원",11일 전,판매완료,https://www.daangn.com/kr/buy-sell/%EB%B9%84%ED%83%80%EB%AF%BC%EC%A0%9C-%EC%84%BC%ED%8A%B8%EB%A3%B8-i2sft32wq7bw/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,닥터블릿 푸웅 팻버닝 프로 30캡슐x2박스,"30,000원",12일 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8B%A5%ED%84%B0%EB%B8%94%EB%A6%BF-%ED%91%B8%EC%9B%85-%ED%8C%BB%EB%B2%84%EB%8B%9D-%ED%94%84%EB%A1%9C-30%EC%BA%A1%EC%8A%90x2%EB%B0%95%EC%8A%A4-28k5xkhbgznh/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,탄탄 슬리밍 젤리 더블컷 다이어트 4박스 28포,"16,000원",끌올 12일 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%83%84%ED%83%84-%EC%8A%AC%EB%A6%AC%EB%B0%8D-%EC%A0%A4%EB%A6%AC-%EB%8D%94%EB%B8%94%EC%BB%B7-%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8-4%EB%B0%95%EC%8A%A4-28%ED%8F%AC-njc4os1tn2k4/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,오쏘몰 알약과 함께 마시는 비타민 7입+티백5종,"35,000원",끌올 16일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%98%A4%EC%8F%98%EB%AA%B0-%EC%95%8C%EC%95%BD%EA%B3%BC-%ED%95%A8%EA%BB%98-%EB%A7%88%EC%8B%9C%EB%8A%94-%EB%B9%84%ED%83%80%EB%AF%BC-7%EC%9E%85-%ED%8B%B0%EB%B0%B15%EC%A2%85-3u119i6mjfqa/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,순수식품 6년근 홍삼정 스틱 1박스 (30포),"17,000원",끌올 17일 전,판매완료,https://www.daangn.com/kr/buy-sell/%EC%88%9C%EC%88%98%EC%8B%9D%ED%92%88-6%EB%85%84%EA%B7%BC-%ED%99%8D%EC%82%BC%EC%A0%95-%EC%8A%A4%ED%8B%B1-1%EB%B0%95%EC%8A%A4-30%ED%8F%AC-rxez14s8uvh9/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,여름대비 다이어트 안국건강 건강기능식품 세트!! 새제품🍀,"16,000원",끌올 19일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%97%AC%EB%A6%84%EB%8C%80%EB%B9%84-%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8-%EC%95%88%EA%B5%AD%EA%B1%B4%EA%B0%95-%EA%B1%B4%EA%B0%95%EA%B8%B0%EB%8A%A5%EC%8B%9D%ED%92%88-%EC%84%B8%ED%8A%B8-%EC%83%88%EC%A0%9C%ED%92%88-mh6tqncjoaxb/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,"판토모나 비오틴 플러스 맥스 여성용, 270정, 1개","39,000원",끌올 22일 전,판매완료,https://www.daangn.com/kr/buy-sell/%ED%8C%90%ED%86%A0%EB%AA%A8%EB%82%98-%EB%B9%84%EC%98%A4%ED%8B%B4-%ED%94%8C%EB%9F%AC%EC%8A%A4-%EB%A7%A5%EC%8A%A4-%EC%97%AC%EC%84%B1%EC%9A%A9-270%EC%A0%95-1%EA%B0%9C-dksjcvqxgjra/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
건강기능식품,정관장 다보록 감사청편 판매해요,"35,000원",22일 전,판매완료,https://www.daangn.com/kr/buy-sell/%EC%A0%95%EA%B4%80%EC%9E%A5-%EB%8B%A4%EB%B3%B4%EB%A1%9D-%EA%B0%90%EC%82%AC%EC%B2%AD%ED%8E%B8-%ED%8C%90%EB%A7%A4%ED%95%B4%EC%9A%94-fyh93zdvkbfs/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
