카테고리,상품명,가격,작성일자,판매상태,URL
티켓/교환권,신세계 상품권 10만원권 4장,"390,000원",57초 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8B%A0%EC%84%B8%EA%B3%84-%EC%83%81%ED%92%88%EA%B6%8C-10%EB%A7%8C%EC%9B%90%EA%B6%8C-4%EC%9E%A5-qqtw74exkrfc/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,6/1(일) 엘지 삼성 1루 외야그린석 2연석 / 4연석,"22,000원",4분 전,판매중,https://www.daangn.com/kr/buy-sell/6-1-%EC%9D%BC-%EC%97%98%EC%A7%80-%EC%82%BC%EC%84%B1-1%EB%A3%A8-%EC%99%B8%EC%95%BC%EA%B7%B8%EB%A6%B0%EC%84%9D-2%EC%97%B0%EC%84%9D-4%EC%97%B0%EC%84%9D-423p9ccrbgoz/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,스타벅스 e-프리퀀시 완성본 판매합니다,"63,000원",16분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4-e-%ED%94%84%EB%A6%AC%ED%80%80%EC%8B%9C-%EC%99%84%EC%84%B1%EB%B3%B8-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-3u86jae2pxri/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,[입금 먼저 해드려요]스타벅스 프리퀀시 삽니다^^,"7,000원",27분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9E%85%EA%B8%88-%EB%A8%BC%EC%A0%80-%ED%95%B4%EB%93%9C%EB%A0%A4%EC%9A%94-%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4-%ED%94%84%EB%A6%AC%ED%80%80%EC%8B%9C-%EC%82%BD%EB%8B%88%EB%8B%A4-so112bxh9q3q/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,메가커피 음료 4000->3500,"3,500원",끌올 35분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EA%B0%80%EC%BB%A4%ED%94%BC-%EC%9D%8C%EB%A3%8C-4000-3500-uo6bbswfn4vi/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,신라호텔 파크뷰 식사권 초대권 2장,"350,000원",36분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8B%A0%EB%9D%BC%ED%98%B8%ED%85%94-%ED%8C%8C%ED%81%AC%EB%B7%B0-%EC%8B%9D%EC%82%AC%EA%B6%8C-%EC%B4%88%EB%8C%80%EA%B6%8C-2%EC%9E%A5-pbfd7qv98pkt/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,(월주차) 구역삼사무소 사거리 | 총지사 | 역삼역 도보10분 | 역삼청소년수련관 | 팁스 | 강남세브란스,"150,000원",38분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9B%94%EC%A3%BC%EC%B0%A8-%EA%B5%AC%EC%97%AD%EC%82%BC%EC%82%AC%EB%AC%B4%EC%86%8C-%EC%82%AC%EA%B1%B0%EB%A6%AC-%EC%B4%9D%EC%A7%80%EC%82%AC-%EC%97%AD%EC%82%BC%EC%97%AD-%EB%8F%84%EB%B3%B410%EB%B6%84-%EC%97%AD%EC%82%BC%EC%B2%AD%EC%86%8C%EB%85%84%EC%88%98%EB%A0%A8%EA%B4%80-%ED%8C%81%EC%8A%A4-%EA%B0%95%EB%82%A8%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4-85s6yyjd9oqa/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,롯데백화점 5만원 상품권,"47,000원",38분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90-5%EB%A7%8C%EC%9B%90-%EC%83%81%ED%92%88%EA%B6%8C-2bhb16b7jpzm/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,스타벅스 프리퀀시 일반 5개,"3,000원",47분 전,예약중,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4-%ED%94%84%EB%A6%AC%ED%80%80%EC%8B%9C-%EC%9D%BC%EB%B0%98-5%EA%B0%9C-z82t6v8kpr11/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
티켓/교환권,신세계 모바일 상품권,"95,000원",54분 전,판매완료,https://www.daangn.com/kr/buy-sell/%EC%8B%A0%EC%84%B8%EA%B3%84-%EB%AA%A8%EB%B0%94%EC%9D%BC-%EC%83%81%ED%92%88%EA%B6%8C-pcdnya5n4x6e/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
