카테고리,상품명,가격,닉네임,작성일자,URL
생활/주방,(나눔) 조셉조셉 뉴 엘리베이트 조리도구 세트,나눔,캔들,55분 전,https://www.daangn.com/kr/buy-sell/%EB%82%98%EB%88%94-%EC%A1%B0%EC%85%89%EC%A1%B0%EC%85%89-%EB%89%B4-%EC%97%98%EB%A6%AC%EB%B2%A0%EC%9D%B4%ED%8A%B8-%EC%A1%B0%EB%A6%AC%EB%8F%84%EA%B5%AC-%EC%84%B8%ED%8A%B8-2fkr5mj233uz/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
생활/주방,20리터 대용량 보냉백 2개 일괄(새상품) 소프트쿨러,"15,000원",원썸,끌올 1시간 전,https://www.daangn.com/kr/buy-sell/20%EB%A6%AC%ED%84%B0-%EB%8C%80%EC%9A%A9%EB%9F%89-%EB%B3%B4%EB%83%89%EB%B0%B1-2%EA%B0%9C-%EC%9D%BC%EA%B4%84-%EC%83%88%EC%83%81%ED%92%88-%EC%86%8C%ED%94%84%ED%8A%B8%EC%BF%A8%EB%9F%AC-a37s8prku266/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
생활/주방,매직쉐프 제빙기 1500BS 팝니다.,"120,000원",소니파파,끌올 1시간 전,https://www.daangn.com/kr/buy-sell/%EB%A7%A4%EC%A7%81%EC%89%90%ED%94%84-%EC%A0%9C%EB%B9%99%EA%B8%B0-1500bs-%ED%8C%9D%EB%8B%88%EB%8B%A4-imrq1vkfnyuh/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
생활/주방,(나눔) 접이식 빨래건조대,나눔,캔들,1시간 전,https://www.daangn.com/kr/buy-sell/%EB%82%98%EB%88%94-%EC%A0%91%EC%9D%B4%EC%8B%9D-%EB%B9%A8%EB%9E%98%EA%B1%B4%EC%A1%B0%EB%8C%80-ppueg2b8gaip/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
생활/주방,실리만 실리콘 칫솔꽂이 2개 (새상품),"2,000원",행운산,끌올 1시간 전,https://www.daangn.com/kr/buy-sell/%EC%8B%A4%EB%A6%AC%EB%A7%8C-%EC%8B%A4%EB%A6%AC%EC%BD%98-%EC%B9%AB%EC%86%94%EA%BD%82%EC%9D%B4-2%EA%B0%9C-%EC%83%88%EC%83%81%ED%92%88-oaqfjhoqxs9w/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
