카테고리,상품명,가격,닉네임,작성일자,URL
남성패션/잡화,"나이키 x 조던 후드티 , 바지 세트로 팝니다","50,000원",'djfndjd',끌올 2시간 전,https://www.daangn.com/kr/buy-sell/%EB%82%98%EC%9D%B4%ED%82%A4-x-%EC%A1%B0%EB%8D%98-%ED%9B%84%EB%93%9C%ED%8B%B0-%EB%B0%94%EC%A7%80-%EC%84%B8%ED%8A%B8%EB%A1%9C-%ED%8C%9D%EB%8B%88%EB%8B%A4-mp2piebyn3k6/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
남성패션/잡화,나이키 스탠다드 이슈 후드티 105 사이즈,"50,000원",'djfndjd',끌올 2시간 전,https://www.daangn.com/kr/buy-sell/%EB%82%98%EC%9D%B4%ED%82%A4-%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C-%EC%9D%B4%EC%8A%88-%ED%9B%84%EB%93%9C%ED%8B%B0-105-%EC%82%AC%EC%9D%B4%EC%A6%88-itfuai2buo1s/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
남성패션/잡화,(새상품) 디스이즈내버뎃 맨투맨 XL사이즈,"30,000원",'djfndjd',끌올 2시간 전,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EB%94%94%EC%8A%A4%EC%9D%B4%EC%A6%88%EB%82%B4%EB%B2%84%EB%8E%83-%EB%A7%A8%ED%88%AC%EB%A7%A8-xl%EC%82%AC%EC%9D%B4%EC%A6%88-ynj52f4kyj8q/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
남성패션/잡화,[새상품] 폴로 랄프로렌 린넨 셔츠 슬림핏 s,"130,000원",도리,끌올 2시간 전,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%ED%8F%B4%EB%A1%9C-%EB%9E%84%ED%94%84%EB%A1%9C%EB%A0%8C-%EB%A6%B0%EB%84%A8-%EC%85%94%EC%B8%A0-%EC%8A%AC%EB%A6%BC%ED%95%8F-s-7j5wtf5n56ho/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
남성패션/잡화,폴로 흰색 양말 6개 / 배송비포함,"30,000원",당근맘,2시간 전,https://www.daangn.com/kr/buy-sell/%ED%8F%B4%EB%A1%9C-%ED%9D%B0%EC%83%89-%EC%96%91%EB%A7%90-6%EA%B0%9C-%EB%B0%B0%EC%86%A1%EB%B9%84%ED%8F%AC%ED%95%A8-q9mowkb3akgb/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
