카테고리,상품명,가격,닉네임,작성일자,URL
여성의류,"밀레(Millet) 바람막이 여성 자켓 네이비 90 사이즈 5,000(원)","5,000원",당당하게2024,49분 전,https://www.daangn.com/kr/buy-sell/%EB%B0%80%EB%A0%88-millet-%EB%B0%94%EB%9E%8C%EB%A7%89%EC%9D%B4-%EC%97%AC%EC%84%B1-%EC%9E%90%EC%BC%93-%EB%84%A4%EC%9D%B4%EB%B9%84-90-%EC%82%AC%EC%9D%B4%EC%A6%88-5-000-%EC%9B%90-uo8dsvge2xyg/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
여성의류,새상품) A라인 박시 임산부 나시 청 미니 원피스,"13,000원",승디,55분 전,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-a%EB%9D%BC%EC%9D%B8-%EB%B0%95%EC%8B%9C-%EC%9E%84%EC%82%B0%EB%B6%80-%EB%82%98%EC%8B%9C-%EC%B2%AD-%EB%AF%B8%EB%8B%88-%EC%9B%90%ED%94%BC%EC%8A%A4-poayymrse7yz/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
여성의류,블랙 민소매 원피스 태교여행 임산부 원피스,"10,000원",승디,1시간 전,https://www.daangn.com/kr/buy-sell/%EB%B8%94%EB%9E%99-%EB%AF%BC%EC%86%8C%EB%A7%A4-%EC%9B%90%ED%94%BC%EC%8A%A4-%ED%83%9C%EA%B5%90%EC%97%AC%ED%96%89-%EC%9E%84%EC%82%B0%EB%B6%80-%EC%9B%90%ED%94%BC%EC%8A%A4-7a175sj71w6e/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
여성의류,말본 반바지 (새상품),"210,000원",아리맘,끌올 1시간 전,https://www.daangn.com/kr/buy-sell/%EB%A7%90%EB%B3%B8-%EB%B0%98%EB%B0%94%EC%A7%80-%EC%83%88%EC%83%81%ED%92%88-eke2g28tq3ya/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
여성의류,"어메이징크리 상의, 타이틀리스트 스커트","120,000원",아리맘,끌올 1시간 전,https://www.daangn.com/kr/buy-sell/%EC%96%B4%EB%A9%94%EC%9D%B4%EC%A7%95%ED%81%AC%EB%A6%AC-%EC%83%81%EC%9D%98-%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8-%EC%8A%A4%EC%BB%A4%ED%8A%B8-33wf439kmxsu/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
