카테고리,상품명,가격,작성일자,판매상태,URL
디지털기기,(중고) iWALK 보조배터리 라이트닝8핀,"4,000원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A4%91%EA%B3%A0-iwalk-%EB%B3%B4%EC%A1%B0%EB%B0%B0%ED%84%B0%EB%A6%AC-%EB%9D%BC%EC%9D%B4%ED%8A%B8%EB%8B%9D8%ED%95%80-whns1v5cf51d/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,LG gram 15인치 노트북,"1,000,000원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/lg-gram-15%EC%9D%B8%EC%B9%98-%EB%85%B8%ED%8A%B8%EB%B6%81-uou6eu21aiai/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,DJI Mavic 3 Pro Rc pro 매빅3프로 rc프로 플라이모어 드론 풀세트,"3,500,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/dji-mavic-3-pro-rc-pro-%EB%A7%A4%EB%B9%853%ED%94%84%EB%A1%9C-rc%ED%94%84%EB%A1%9C-%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%AA%A8%EC%96%B4-%EB%93%9C%EB%A1%A0-%ED%92%80%EC%84%B8%ED%8A%B8-pqpuk981zsyg/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,DJI AVATA PRO VIEW COMBO 아바타 프로 뷰 콤보,"950,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/dji-avata-pro-view-combo-%EC%95%84%EB%B0%94%ED%83%80-%ED%94%84%EB%A1%9C-%EB%B7%B0-%EC%BD%A4%EB%B3%B4-drsyihoza593/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,맥북 에어 m2 13인치 실버 기본형 배터리 효율 100% 팝니다,"800,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A7%A5%EB%B6%81-%EC%97%90%EC%96%B4-m2-13%EC%9D%B8%EC%B9%98-%EC%8B%A4%EB%B2%84-%EA%B8%B0%EB%B3%B8%ED%98%95-%EB%B0%B0%ED%84%B0%EB%A6%AC-%ED%9A%A8%EC%9C%A8-100-%ED%8C%9D%EB%8B%88%EB%8B%A4-ke8ighxt46a9/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,고성능 게이밍 무선 마우스 임팩트3 미개봉 싸게팔아요 (asus 로그 게이밍 마우스) 로지텍 지슈라,"58,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B3%A0%EC%84%B1%EB%8A%A5-%EA%B2%8C%EC%9D%B4%EB%B0%8D-%EB%AC%B4%EC%84%A0-%EB%A7%88%EC%9A%B0%EC%8A%A4-%EC%9E%84%ED%8C%A9%ED%8A%B83-%EB%AF%B8%EA%B0%9C%EB%B4%89-%EC%8B%B8%EA%B2%8C%ED%8C%94%EC%95%84%EC%9A%94-asus-%EB%A1%9C%EA%B7%B8-%EA%B2%8C%EC%9D%B4%EB%B0%8D-%EB%A7%88%EC%9A%B0%EC%8A%A4-%EB%A1%9C%EC%A7%80%ED%85%8D-%EC%A7%80%EC%8A%88%EB%9D%BC-bxw882cdmbds/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,(중고) 샤오미 mi 보조배터리 10000 대용량,"7,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A4%91%EA%B3%A0-%EC%83%A4%EC%98%A4%EB%AF%B8-mi-%EB%B3%B4%EC%A1%B0%EB%B0%B0%ED%84%B0%EB%A6%AC-10000-%EB%8C%80%EC%9A%A9%EB%9F%89-bvok4wgwaufk/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,칼디짓 미니독,"100,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B9%BC%EB%94%94%EC%A7%93-%EB%AF%B8%EB%8B%88%EB%8F%85-ptp12foputfv/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,아이패드 프로 12.9 3세대,"800,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8C%A8%EB%93%9C-%ED%94%84%EB%A1%9C-12-9-3%EC%84%B8%EB%8C%80-5k6xqf9qrsbn/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,DJI 오즈모 포켓 3 미개봉 판매(단품),"690,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/dji-%EC%98%A4%EC%A6%88%EB%AA%A8-%ED%8F%AC%EC%BC%93-3-%EB%AF%B8%EA%B0%9C%EB%B4%89-%ED%8C%90%EB%A7%A4-%EB%8B%A8%ED%92%88-uezv5yux7cjw/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,삼성 갤럭시 S펜 EJ-PT730 새상품(정품),"28,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EA%B0%A4%EB%9F%AD%EC%8B%9C-s%ED%8E%9C-ej-pt730-%EC%83%88%EC%83%81%ED%92%88-%EC%A0%95%ED%92%88-rwevmekrup1q/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,아이폰SE 1세대 16기가 무음카메라 S급 배터리효율100%,"135,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0se-1%EC%84%B8%EB%8C%80-16%EA%B8%B0%EA%B0%80-%EB%AC%B4%EC%9D%8C%EC%B9%B4%EB%A9%94%EB%9D%BC-s%EA%B8%89-%EB%B0%B0%ED%84%B0%EB%A6%AC%ED%9A%A8%EC%9C%A8100-yxkwhranact3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,아이폰6 16기가 실버색상 S급 무음카메라 배터리성능100%,"95,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B06-16%EA%B8%B0%EA%B0%80-%EC%8B%A4%EB%B2%84%EC%83%89%EC%83%81-s%EA%B8%89-%EB%AC%B4%EC%9D%8C%EC%B9%B4%EB%A9%94%EB%9D%BC-%EB%B0%B0%ED%84%B0%EB%A6%AC%EC%84%B1%EB%8A%A5100-cs6hoopeusxe/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,뱅앤올룹슨 Beolit 17 스피커,"370,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B1%85%EC%95%A4%EC%98%AC%EB%A3%B9%EC%8A%A8-beolit-17-%EC%8A%A4%ED%94%BC%EC%BB%A4-tdp8kz7469oh/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,삼성 앰프 사운드바 우퍼,"20,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EC%95%B0%ED%94%84-%EC%82%AC%EC%9A%B4%EB%93%9C%EB%B0%94-%EC%9A%B0%ED%8D%BC-mtnr21o9ydby/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,LG 그램 16인치 게이밍 노트북,"450,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/lg-%EA%B7%B8%EB%9E%A8-16%EC%9D%B8%EC%B9%98-%EA%B2%8C%EC%9D%B4%EB%B0%8D-%EB%85%B8%ED%8A%B8%EB%B6%81-2az8w89w119r/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
