카테고리,상품명,가격,작성일자,판매상태,URL
생활가전,세절기(파쇄기) 지금 바로 오시면 대당 만원,"10,000원",27분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%84%B8%EC%A0%88%EA%B8%B0-%ED%8C%8C%EC%87%84%EA%B8%B0-%EC%A7%80%EA%B8%88-%EB%B0%94%EB%A1%9C-%EC%98%A4%EC%8B%9C%EB%A9%B4-%EB%8C%80%EB%8B%B9-%EB%A7%8C%EC%9B%90-ouifmk92akmg/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,삼성 인덕션 더 플레이트 NZ31T3703PK 새상품,"90,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EC%9D%B8%EB%8D%95%EC%85%98-%EB%8D%94-%ED%94%8C%EB%A0%88%EC%9D%B4%ED%8A%B8-nz31t3703pk-%EC%83%88%EC%83%81%ED%92%88-yxti3ghw65hr/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,KT강남 02-××××-0002(전화번호),"7,500,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/kt%EA%B0%95%EB%82%A8-02-0002-%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8-9t5kesv3uqq4/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,빛조절 led스탠드,"15,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B9%9B%EC%A1%B0%EC%A0%88-led%EC%8A%A4%ED%83%A0%EB%93%9C-xwq1psemm2uw/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,캐치웰 초음파 가습기 CH200,"31,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BA%90%EC%B9%98%EC%9B%B0-%EC%B4%88%EC%9D%8C%ED%8C%8C-%EA%B0%80%EC%8A%B5%EA%B8%B0-ch200-sa6nv9dmb6fk/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,쿠쿠 인스퓨어 창문형 에어컨,"300,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BF%A0%EC%BF%A0-%EC%9D%B8%EC%8A%A4%ED%93%A8%EC%96%B4-%EC%B0%BD%EB%AC%B8%ED%98%95-%EC%97%90%EC%96%B4%EC%BB%A8-d7apxteyrqxr/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,업킵 스팀다리미 팝니다,"29,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%97%85%ED%82%B5-%EC%8A%A4%ED%8C%80%EB%8B%A4%EB%A6%AC%EB%AF%B8-%ED%8C%9D%EB%8B%88%EB%8B%A4-pf8mtc8u2r3r/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,LG 65인치 LED TV,"500,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/lg-65%EC%9D%B8%EC%B9%98-led-tv-sieidobu62ke/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,"📦 8K UHD 스마트TV박스 Transpeed, 박스만 열고 그대로 둠!","61,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/8k-uhd-%EC%8A%A4%EB%A7%88%ED%8A%B8tv%EB%B0%95%EC%8A%A4-transpeed-%EB%B0%95%EC%8A%A4%EB%A7%8C-%EC%97%B4%EA%B3%A0-%EA%B7%B8%EB%8C%80%EB%A1%9C-%EB%91%A0-wo5f6xoqvzpi/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,전기 냉온수기 (온수기 겸용),"35,000원",끌올 4시간 전,예약중,https://www.daangn.com/kr/buy-sell/%EC%A0%84%EA%B8%B0-%EB%83%89%EC%98%A8%EC%88%98%EA%B8%B0-%EC%98%A8%EC%88%98%EA%B8%B0-%EA%B2%B8%EC%9A%A9-7yqrqg1dajod/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
생활가전,전자레인지 판매합니다 :),"25,000원",4시간 전,판매완료,https://www.daangn.com/kr/buy-sell/%EC%A0%84%EC%9E%90%EB%A0%88%EC%9D%B8%EC%A7%80-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-b7q7ry6qxkfi/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
