카테고리,상품명,가격,작성일자,판매상태,URL
디지털기기,사운드피츠 Air4 Lite 화이트,"49,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%AC%EC%9A%B4%EB%93%9C%ED%94%BC%EC%B8%A0-air4-lite-%ED%99%94%EC%9D%B4%ED%8A%B8-9m37d86e4oy8/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,갤럭시 S21 블랙,"100,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s21-%EB%B8%94%EB%9E%99-6rwh38s2vgko/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,아이폰SE 64기가 스그,"200,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0se-64%EA%B8%B0%EA%B0%80-%EC%8A%A4%EA%B7%B8-z1vnk8aw668m/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,갤럭시워치액티브2,"50,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98%EC%95%A1%ED%8B%B0%EB%B8%8C2-h57kxtoozktf/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,쿨러마스터 1200w 골드 파워,"70,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BF%A8%EB%9F%AC%EB%A7%88%EC%8A%A4%ED%84%B0-1200w-%EA%B3%A8%EB%93%9C-%ED%8C%8C%EC%9B%8C-7h8n1pk855br/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,갤럭시 S23 울트라 그린,"500,000원",1시간 전,판매완료,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s23-%EC%9A%B8%ED%8A%B8%EB%9D%BC-%EA%B7%B8%EB%A6%B0-3r4vt7d2zgyj/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,갤럭시 S25 실버 512GB,"950,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s25-%EC%8B%A4%EB%B2%84-512gb-f2c7jby2qeur/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,케이스티파이 헬로키티폰케이스,"60,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BC%80%EC%9D%B4%EC%8A%A4%ED%8B%B0%ED%8C%8C%EC%9D%B4-%ED%97%AC%EB%A1%9C%ED%82%A4%ED%8B%B0%ED%8F%B0%EC%BC%80%EC%9D%B4%EC%8A%A4-wy6hm16nar3t/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,Xbox Live 헤드셋,"10,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/xbox-live-%ED%97%A4%EB%93%9C%EC%85%8B-ybth8e9htojm/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,PS5 슬림 스탠다드에디션 (듀얼센스 2개 포함),"570,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/ps5-%EC%8A%AC%EB%A6%BC-%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C%EC%97%90%EB%94%94%EC%85%98-%EB%93%80%EC%96%BC%EC%84%BC%EC%8A%A4-2%EA%B0%9C-%ED%8F%AC%ED%95%A8-9ueqhevcyqx9/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
